IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
54.250.76.219:8443,4,3,0.25,64.03,51.25
18.183.158.211:443,4,3,0.25,59.85,50.81
13.231.252.94:443,4,4,0.00,60.15,48.42
54.238.156.23:443,4,4,0.00,55.01,46.62
35.77.193.86:443,4,3,0.25,60.22,46.20
43.207.208.249:443,4,4,0.00,58.06,45.61
188.253.20.146:443,4,4,0.00,305.94,45.59
188.253.19.164:443,4,3,0.25,301.86,43.60
18.181.254.118:443,4,3,0.25,67.67,39.37
188.253.23.248:443,4,3,0.25,324.33,37.79
13.115.72.85:443,4,4,0.00,58.97,30.67
188.253.19.91:443,4,4,0.00,272.31,11.81
188.253.17.94:443,4,3,0.25,312.10,11.54
188.253.16.181:443,4,3,0.25,307.24,10.97
188.253.19.248:8443,4,4,0.00,306.97,10.79
188.253.16.21:443,4,4,0.00,287.57,10.71
188.253.23.244:443,4,4,0.00,306.20,10.13
188.253.19.91:443,4,3,0.25,286.32,9.95
188.253.23.234:443,4,4,0.00,298.00,9.64
188.253.19.222:8443,4,4,0.00,273.67,8.93
188.253.16.238:8443,4,4,0.00,316.57,4.29
188.253.22.219:8443,4,4,0.00,292.35,4.21
43.206.192.211:443,4,4,0.00,59.63,3.10
188.253.17.85:443,4,4,0.00,314.15,2.88
188.253.17.91:443,4,3,0.25,301.33,2.43
188.253.23.42:443,4,3,0.25,315.22,2.26
188.253.16.239:8443,4,4,0.00,293.57,2.06
188.253.23.21:443,4,3,0.25,294.41,1.98
188.253.21.68:443,4,2,0.50,307.95,1.71
188.253.19.142:8443,4,3,0.25,297.36,1.70
188.253.16.247:443,4,3,0.25,312.10,1.69
188.253.17.113:443,4,3,0.25,315.24,1.64
188.253.19.222:8443,4,4,0.00,294.64,1.62
188.253.18.47:443,4,3,0.25,275.65,1.45
188.253.22.45:9443,4,4,0.00,294.35,1.37
188.253.17.31:443,4,4,0.00,288.83,1.34
188.253.21.197:443,4,4,0.00,291.30,1.32
188.253.17.31:443,4,3,0.25,289.71,1.09
35.75.160.251:443,4,4,0.00,62.99,1.02
